year,Coal,Oil,Gas,Nuclear,Hydro,Wind,Solar,Bioenergy,Other Renewables
1985,0.3843032747724046,0.11388039184245265,0.14623472735929566,0.15265176882328743,0.20292204530047825,6.5616017526038265e-06,1.2303003286132176e-06,0.0,0.0
1986,0.3823357937276379,0.11635098234846188,0.1426850758365404,0.15882340872934386,0.1997894021454968,1.3843328183084095e-05,1.4938843363040388e-06,0.0,0.0
1987,0.38553279992490896,0.11240613979260475,0.1440742367417187,0.16480625444320968,0.19316099831149716,1.852574408651123e-05,1.04504197411089e-06,0.0,0.0
1988,0.38229236505356373,0.11435305715200209,0.14024056346677716,0.1721176299601415,0.19096525984110657,3.0214452537326906e-05,9.100738716062321e-07,0.0,0.0
1989,0.38089707591326477,0.11749813727771559,0.15042354849944037,0.1692602351389919,0.18166759287896198,0.00023061032720037497,2.279996442509368e-05,0.0,0.0
1990,0.37868300179143005,0.11598397052206177,0.15186622857288404,0.16985439324860124,0.18327110024366844,0.0003083636857611031,3.29419355934218e-05,0.0,0.0
1991,0.37874208087709316,0.11232054164402934,0.15077531295635704,0.1742263139404738,0.18355418821421915,0.0003395913384760727,4.197102935154594e-05,0.0,0.0
1992,0.383214897234872,0.10958844499710227,0.15069021059384416,0.17407922471716758,0.18199866355554878,0.0003900710155065796,3.848788595849835e-05,0.0,0.0
1993,0.3815397900139614,0.10237416574532131,0.15030142115839337,0.17633057064230548,0.18894877857851877,0.00046032296853437487,4.49508929652256e-05,0.0,0.0
1994,0.38490632667886193,0.10258884204138725,0.1513695025701779,0.17515190991347132,0.18537525981898598,0.0005611838303518935,4.697514676389237e-05,0.0,0.0
1995,0.3831662423264586,0.09595254649371238,0.1547405408229323,0.17661530960054733,0.18884772945606457,0.0006290389536478441,4.859234663696475e-05,0.0,0.0
1996,0.3893308856237028,0.09199168581059954,0.1548730158449229,0.1774733282833467,0.18559991304111845,0.0006796243659494033,5.1547030360094714e-05,0.0,0.0
1997,0.38886189476548794,0.08974744455097955,0.16362217637945817,0.1722513031651302,0.18459627393652445,0.0008668548936221735,5.405230879752495e-05,0.0,0.0
1998,0.3869291477781772,0.09095660233750738,0.16904919821815803,0.1706884765313042,0.18120122894270865,0.0011183375840552257,5.700860808919853e-05,0.0,0.0
1999,0.38447442395797315,0.08657680460210887,0.17754777157047347,0.17232411742566392,0.17756566149852593,0.0014494255830887466,6.179536216588852e-05,0.0,0.0
2000,0.380190317363596,0.0866540259668859,0.17969930668139744,0.16627472643269808,0.17211095977469273,0.0020381328503948962,6.741415658017801e-05,0.010108196448779312,0.002856920324975505
2001,0.3800329281400117,0.08288291543067866,0.18804522716158661,0.1685870447381426,0.16539293773975156,0.002463159062786686,8.83847018338858e-05,0.009659093108444804,0.0028483099167635455
2002,0.3828317323598518,0.0792224857800283,0.1934508065928082,0.1654108729121767,0.1627148572457524,0.0032536616154535845,0.00010654464501006566,0.010153517749029417,0.002855521099889655
2003,0.39542078203098086,0.07793727706668321,0.19578739852042346,0.156428448140546,0.15708097256811368,0.0038002782099540956,0.00012629505049697106,0.0106153996967716,0.002803148716030391
2004,0.39032056899187245,0.07254118082121616,0.20115695626558316,0.1561563648098786,0.16093050338048523,0.0049073596613428,0.00015963561734768294,0.011056202073425496,0.002771228378848626
2005,0.3952395080137467,0.07045611960842271,0.2029652847935131,0.1503801732010429,0.16056775619504748,0.005756089168096773,0.00021727334089194567,0.011738274959964354,0.0026795207192740205
2006,0.40166494948513753,0.062413046120788726,0.20704856571550206,0.14658891311167627,0.16020056255610035,0.00706884278950964,0.0002871700795317801,0.012033541040638548,0.002694409101115186
2007,0.4084331146218795,0.06067632311129937,0.21402458665056984,0.13713588600965307,0.1553580079081057,0.00868014781411133,0.00036928165081072037,0.012643838500148373,0.0026788137334222725
2008,0.40168397216859414,0.058251548192834,0.21694150022360434,0.13404919892928577,0.16143687815477398,0.01098422233685711,0.0005889823489352301,0.013248620691885123,0.002815076953230125
2009,0.3986979882193204,0.053659351039784364,0.2197230116342735,0.13320751765397212,0.16251080497299508,0.01384941828632627,0.0009932552901749452,0.01441749412871305,0.002941158774440297
2010,0.3978023652366271,0.05068874772627663,0.22608052413673752,0.12818956128190032,0.16121333591664677,0.016267820630265772,0.0015147183028383217,0.01543498420855616,0.002807942560151387
2011,0.405536828529157,0.05400255488520537,0.2214503865777053,0.11879442548987215,0.15873600991007839,0.02001948702965696,0.0028948387587098873,0.01578576827910232,0.0027797005405124967
2012,0.3979289599238336,0.05499193574171636,0.22917725026555208,0.10800688481610292,0.16253255011741133,0.023499586129475752,0.004306562601025262,0.016766196902898513,0.002790073501984091
2013,0.4069483975931081,0.05166069664458276,0.2183762979184945,0.10572120399859067,0.16367417150831423,0.027377185649840062,0.0056972836111667605,0.01776758018942874,0.002777182886474013
2014,0.40424342249303596,0.04814607101113906,0.2196618701643408,0.1052068491628015,0.1629703452201709,0.02972635684764705,0.008326091423220595,0.018791493618698273,0.0029275000589457797
2015,0.38648311805555846,0.04720481738068042,0.23078063403638854,0.1054741031642689,0.16164092758146986,0.03454216186662258,0.010654719544812325,0.020176383558244092,0.0030431348119548396
2016,0.3774942153149638,0.0439474140150491,0.23690491418911594,0.10407777790371761,0.16251362173908118,0.03886952114628251,0.013283320838305707,0.01983794785768299,0.0030712669958013476
2017,0.3791443385933225,0.039078433860903844,0.23487961011932706,0.10192681172203713,0.15927618734797297,0.04476327691185212,0.017490253179626346,0.020344265199951746,0.003096823065006174
2018,0.3788120832267772,0.03433948822051976,0.2353017614730328,0.10043165174124466,0.15778161149227904,0.047898346713769226,0.02168382331554018,0.020664661332624176,0.0030865724842129992
2019,0.365763152827945,0.03183470176892972,0.23855022171673215,0.10256582139839257,0.15748312126212627,0.052912594784042644,0.02623284893431844,0.02156836237977076,0.003089174927742355
2020,0.3528826892810095,0.028990861503104936,0.23880497672093282,0.09903073375335744,0.16257991370423042,0.05950623922377932,0.03197969106578155,0.023004601967399962,0.0032202927804042274
2021,0.35916793238079936,0.03024520307902796,0.2315489299026644,0.09770487767435904,0.151669929108218,0.06567270082762494,0.037263638055042465,0.023673157828833943,0.0030536311434297583
2022,0.3547963783228984,0.030645837632960013,0.22839997192927144,0.09125925219164287,0.14938156244025894,0.07283628093268106,0.04596720080561608,0.023674479109950488,0.0030390366347206564
2023,0.35212872251047167,0.02915485091093329,0.22517781743874168,0.09092253513060833,0.14264135282065588,0.07788899017481593,0.05581011785774201,0.023280154852932163,0.0029954583030991472
2024,0.34315474434858595,0.027792128826247015,0.2202662661481707,0.08960683024917239,0.1432246881536975,0.08093937317645351,0.0690570291579453,0.023082103914843582,0.0028768360248841783
